id,name,real_name,birth_date,date_born,height,weight,height_cm,weight_kg,nationality,description,extract,debut,debut_year,retired,image_url,image_large,promotion,team,source,link,url
55,Chilly Willy,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
56,The Blue Boy,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
58,Spanish Angel & Tony DeVito,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
59,Balls Mahoney,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
60,Bilvis Wesley,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
66,E. Z. Money,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
67,Chris Hamrick & E. Z. Money & Julio Dinero,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
68,Christian York & Joey Matthews & Tommy Dreamer,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
71,Steve Corino,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
72,Justin Credible & The Sandman,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
74,Belvis Wesley,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
76,Kid Kash,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
77,Danny Doring & Roadkill,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
81,Buh Buh Ray Dudley & D-Von Dudley & Tommy Dreamer,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
82,C. W. Anderson & Johnny Swinger & Simon Diamond,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
84,Balls Mahoney & Nova,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
86,Christian York,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
90,Mike Bell,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
93,H. C. Loc,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
94,Danny Daniels,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
95,New Jack,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
96,Spanish Angel,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
102,Julio Dinero,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
110,Kid Kash & Super Crazy,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
112,Jerry Lynn & Justin Credible,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
113,Sal E. Graziano,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
114,Scott Hall,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
118,Little Guido,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
126,Tony DeVito,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
132,Bilvis Wesley & The Prodigy,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
134,Mikey Whipwreck & Super Crazy & Yoshihiro Tajiri,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
146,Simon Diamond,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
148,Super Crazy & Yoshihiro Tajiri,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
149,Danny Doring & Roadkill & The Sandman,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
153,Jerry Lynn & Scott Hall,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
154,Justin Credible & Rhino,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
155,Johnny Swinger & Simon Diamond,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
159,Amish Roadkill & Danny Doring & Spike Dudley,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
162,Chris Chetti,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
164,Angel & Tony DeVito,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
170,Jerry Lynn & Justin Credible & The Sandman,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>
