title,name,extract,url,name_slug,real_name,birth_date,height,weight,debut,real_name_slug,link,source
Shawn Michaels,Shawn Michaels,"Shawn Michaels is an American retired professional wrestler. He is signed to WWE, where he is the Senior Vice President of Talent Development, Creative, and oversees the creative aspects of the NXT brand, the promotion's developmental territory. Regarded as one of the greatest professional wrestlers of all time, he is known by the nicknames ""the Heartbreak Kid"", ""the Showstopper"", and ""Mr. WrestleMania"".",https://en.wikipedia.org/wiki/Shawn_Michaels,shawn michaels,,1965-07-22,6 ft 1 in (185 cm),225 lb (102 kg),"October 8, 1984",,https://en.wikipedia.org/wiki/Shawn_Michaels,wikipedia
Mick Foley,Mick Foley,"Michael Francis Foley is an American comedian, author, and retired professional wrestler. He is signed to All Elite Wrestling (AEW). Over the course of his career, Foley worked for many wrestling promotions, including the World Wrestling Federation, World Championship Wrestling (WCW), Eastern Championship Wrestling / Extreme Championship Wrestling (ECW), and Total Nonstop Action Wrestling (TNA), as well as numerous promotions in Japan. He is widely regarded as one of the biggest stars of the WWF's Attitude Era and headlined the 16th edition of its premier annual event, WrestleMania. He was inducted into the WWE Hall of Fame class of 2013.",https://en.wikipedia.org/wiki/Mick_Foley,mick foley,,1965-06-07,6 ft 2 in (188 cm),287 lb (130 kg),"June 23, 1986",,https://en.wikipedia.org/wiki/Mick_Foley,wikipedia
Mr. Perfect,Mr. Perfect,"Mr. Perfect may refer to:Curt Hennig (1958–2003), American wrestler who used the name ""Mr. Perfect"" in the ring
Jerry Stubbs, American wrestler who used the name ""Mr. Perfect"" in the ring
Ernesto Hoost, Dutch kickboxer who used the name ""Mr. Perfect"" in the ring
Mr. Perfect (film), a 2011 Indian romantic comedy film by Dasaradh, starring Prabhas in the title role
Prabhas, Indian actor, sometimes nicknamed Mr. Perfect
""Mr. Perfect"" (song), a 2011 song by Greek-Swedish singer Elena Paparizou
""Mr. Perfect"", a song from the 2009 Indian film Arya 2
""Mr. Perfect"", a song from the 2017 Indian film Raajakumara
Mr. Perfect , a character from the Mr. Men book and animation series",https://en.wikipedia.org/wiki/Mr._Perfect,mr perfect,,,,,,,https://en.wikipedia.org/wiki/Mr._Perfect,wikipedia
Bruno Sammartino,Bruno Sammartino,Bruno Leopoldo Francesco Sammartino was an Italian-American professional wrestler. He is best known for his time with the World Wide Wrestling Federation. Sammartino's first reign as WWF World Heavyweight Champion is the longest recognized men's world title reign in wrestling history.,https://en.wikipedia.org/wiki/Bruno_Sammartino,bruno sammartino,,1935-10-06,5 ft 10 in (178 cm),265 lb (120 kg),"October 23, 1959",,https://en.wikipedia.org/wiki/Bruno_Sammartino,wikipedia
Bob Backlund,Bob Backlund,"Robert Louis Backlund is an American retired amateur and professional wrestler. He is best known for his appearances in the World Wide Wrestling Federation/World Wrestling Federation from 1976 to 1984 and in the 1990s, where he held the WWWF/WWF Championship on two occasions. His 2,135-day reign is recognized as the second longest in the championship's history. Backlund was inducted into the WWE Hall of Fame in 2013.",https://en.wikipedia.org/wiki/Bob_Backlund,bob backlund,,1949-08-14,6 ft 1 in (185 cm),234 lb (106 kg),1973,,https://en.wikipedia.org/wiki/Bob_Backlund,wikipedia
Billy Graham,Billy Graham,"William Franklin Graham Jr. was an American evangelist, ordained Southern Baptist minister, and civil rights advocate, whose broadcasts and world tours featuring live sermons became well known in the mid-to-late 20th century. Throughout his career, spanning over six decades, Graham rose to prominence as an evangelical Christian figure in the United States and abroad.",https://en.wikipedia.org/wiki/Billy_Graham,billy graham,,1918-11-07,,,,,https://en.wikipedia.org/wiki/Billy_Graham,wikipedia
André the Giant,André the Giant,"André René Roussimoff, known professionally as André the Giant, was a French professional wrestler and actor. Dubbed ""the Eighth Wonder of the World"", Roussimoff was known for his great size, which was a result of gigantism caused by excess human growth hormone.",https://en.wikipedia.org/wiki/Andr%C3%A9_the_Giant,andre the giant,,1946-05-19,7 ft 4 in (224 cm),520 lb (236 kg),25 January 1966,,https://en.wikipedia.org/wiki/Andr%C3%A9_the_Giant,wikipedia
Stan Stasiak,Stan Stasiak,"George Emile Stipich was a Canadian professional wrestler, better known by his ring name, Stan ""the Man"" Stasiak. He is best known for his appearances with the World Wide Wrestling Federation (WWWF) in the 1970s, where he won the WWWF Heavyweight Championship in 1973. He was inducted into the Legacy wing of the WWE Hall of Fame Class of 2018.",https://en.wikipedia.org/wiki/Stan_Stasiak,stan stasiak,,1937-04-13,6 ft 4 in (193 cm),270 lb (122 kg),1958,,https://en.wikipedia.org/wiki/Stan_Stasiak,wikipedia
Pedro Morales,Pedro Morales,Pedro Antonio Morales was a Puerto Rican professional wrestler. He is best known for his appearances in the United States with Worldwide Wrestling Associates (WWA) and the World Wide Wrestling Federation (WWWF).,https://en.wikipedia.org/wiki/Pedro_Morales,pedro morales,,1942-10-22,5 ft 10 in (178 cm),235 lb (107 kg),1959,,https://en.wikipedia.org/wiki/Pedro_Morales,wikipedia
Buddy Rogers,Buddy Rogers,"Buddy Rogers may refer to:Charles ""Buddy"" Rogers (1904–1999), American actor and jazz musician
Buddy Rogers (wrestler) (1921–1992), ring name of American professional wrestler Herman Rohde",https://en.wikipedia.org/wiki/Buddy_Rogers,buddy rogers,,,,,,,https://en.wikipedia.org/wiki/Buddy_Rogers,wikipedia
Chyna,Chyna,"Chyna, also known as Joanie Laurer, was an American professional wrestler, fitness model, bodybuilder, actress, adult actress, and television personality.",https://en.wikipedia.org/wiki/Chyna,chyna,,1969-12-27,5 ft 10 in (178 cm),200 lb (91 kg),1995,,https://en.wikipedia.org/wiki/Chyna,wikipedia
The Iron Sheik,The Iron Sheik,"Hossein Khosrow Ali Vaziri, better known by his ring name the Iron Sheik, was an Iranian-American professional wrestler, amateur wrestler and actor. To date he is the only Iranian champion in WWE history, having won the WWF World Heavyweight Championship in 1983.",https://en.wikipedia.org/wiki/The_Iron_Sheik,the iron sheik,,1942-03-15,6 ft 0 in (183 cm),258 lb (117 kg),1972,,https://en.wikipedia.org/wiki/The_Iron_Sheik,wikipedia
Owen Hart,Owen Hart,"Owen James Hart was a Canadian professional wrestler who worked for several promotions including Stampede Wrestling, New Japan Pro-Wrestling (NJPW), World Championship Wrestling (WCW), and the World Wrestling Federation (WWF). He received most of his success in the WWF, where he wrestled under both his own name and the ring names The Blue Angel and The Blue Blazer.",https://en.wikipedia.org/wiki/Owen_Hart,owen hart,,1965-05-07,5 ft 10 in (178 cm),227 lb (103 kg),"May 30, 1986",,https://en.wikipedia.org/wiki/Owen_Hart,wikipedia
Diesel,Diesel,Diesel may refer to:,https://en.wikipedia.org/wiki/Diesel,diesel,,,,,,,https://en.wikipedia.org/wiki/Diesel,wikipedia
Makuuchi,Makuuchi,"Makuuchi (幕内), or makunouchi (幕の内), is the top division of the six divisions of professional sumo. Since 2004 its size is fixed at 42 wrestlers, ordered into five ranks according to their ability as defined by their performance in previous tournaments.",https://en.wikipedia.org/wiki/Makuuchi,makuuchi,,,,,,,https://en.wikipedia.org/wiki/Makuuchi,wikipedia
Scott Hall,Scott Hall,Scott Oliver Hall was an American professional wrestler. He was best known for his tenures with World Championship Wrestling (WCW) under his real name and with the World Wrestling Federation under the ring name Razor Ramon.,https://en.wikipedia.org/wiki/Scott_Hall,scott hall,,1958-10-20,6 ft 7 in (201 cm),287 lb (130 kg),"October 2, 1984",,https://en.wikipedia.org/wiki/Scott_Hall,wikipedia
Sgt. Slaughter,Sgt. Slaughter,"Robert Rudolph Remus, better known as Sgt. Slaughter, is an American voice actor and retired professional wrestler. He is signed to WWE in its ambassador program.",https://en.wikipedia.org/wiki/Sgt._Slaughter,sgt slaughter,,1948-08-27,6 ft 6 in (198 cm),310 lb (141 kg),1972,,https://en.wikipedia.org/wiki/Sgt._Slaughter,wikipedia
