title,name,extract,url,name_slug,real_name,birth_date,height,weight,debut,real_name_slug,link,source
Rob Van Dam,Rob Van Dam,"Robert Szatkowski better known by his ring name Rob Van Dam is an American professional wrestler. He is signed to WWE under a Legends contract. Known for his unique ring style—which includes his variety of kicks, acrobatic movements—and flexibility, Van Dam is one of the most popular wrestlers in the world. He is also known for his tenures in Extreme Championship Wrestling (ECW) and Total Nonstop Action Wrestling (TNA).",https://en.wikipedia.org/wiki/Rob_Van_Dam,rob van dam,,1970-12-18,6 ft 0 in (183 cm),235 lb (107 kg),1990,,https://en.wikipedia.org/wiki/Rob_Van_Dam,wikipedia
Bret Hart,Bret Hart,"Bret Sergeant Hart is a Canadian-American retired professional wrestler. A member of the Hart wrestling family and a second-generation wrestler, he has an amateur wrestling background at Ernest Manning High School and Mount Royal College. A major international draw within professional wrestling, he is credited with changing the perception of mainstream North American professional wrestling in the early 1990s by bringing technical wrestling to the fore. He is widely regarded as one of the greatest professional wrestlers of all time; Sky Sports noted that his legacy is that of ""one of, if not the greatest, to have ever graced the squared circle"". For the majority of his career, he used the nickname ""the Hitman"".",https://en.wikipedia.org/wiki/Bret_Hart,bret hart,,1957-07-02,6 ft 0 in (183 cm),235 lb (107 kg),"March 29, 1978",,https://en.wikipedia.org/wiki/Bret_Hart,wikipedia
Chris Jericho,Chris Jericho,"Christopher Keith Irvine, better known by the ring name Chris Jericho, is an American-Canadian professional wrestler, rock musician, and actor. As of January 2019, he is signed to All Elite Wrestling (AEW), where he is also referred to mononymously as Jericho.",https://en.wikipedia.org/wiki/Chris_Jericho,chris jericho,,1970-11-09,6 ft 0 in (183 cm),227 lb (103 kg),"October 2, 1990",,https://en.wikipedia.org/wiki/Chris_Jericho,wikipedia
Stone Cold Steve Austin,Stone Cold Steve Austin,"Steve Austin, also known by his ring name Stone Cold Steve Austin, is an American media personality, actor, producer, podcaster, and retired professional wrestler. He is signed to WWE, as an ambassador. Widely regarded as one of the greatest professional wrestlers of all time, he was integral to the development and success of the World Wrestling Federation during the Attitude Era, an industry boom period in the late 1990s and early 2000s where wrestling reached the peak of its mainstream popularity.",https://en.wikipedia.org/wiki/Stone_Cold_Steve_Austin,stone cold steve austin,,1964-12-18,6 ft 2 in (188 cm),252 lb (114 kg),1986,,https://en.wikipedia.org/wiki/Stone_Cold_Steve_Austin,wikipedia
Eddie Guerrero,Eddie Guerrero,"Eduardo Gory Guerrero Llanes was an American professional wrestler. He was best known for his tenures in World Championship Wrestling (WCW) and the World Wrestling Federation (WWF) / World Wrestling Entertainment (WWE), along with his appearances in Mexico and Japan. A prominent member of the Guerrero wrestling family, he was the son of first-generation wrestler Gory Guerrero, the brother of Chavo Guerrero, Mando Guerrero, and Héctor Guerrero, the uncle of Chavo Guerrero Jr., and the father of Shaul Guerrero.",https://en.wikipedia.org/wiki/Eddie_Guerrero,eddie guerrero,,1967-10-09,5 ft 8 in (173 cm),220 lb (100 kg),"September 5, 1986",,https://en.wikipedia.org/wiki/Eddie_Guerrero,wikipedia
Jimmy Snuka,Jimmy Snuka,"James Reiher Snuka was a Fijian and American professional wrestler, better known by the ring name Jimmy ""Superfly"" Snuka.",https://en.wikipedia.org/wiki/Jimmy_Snuka,jimmy snuka,,1943-05-18,5 ft 10 in (178 cm),235 lb (107 kg),1968,,https://en.wikipedia.org/wiki/Jimmy_Snuka,wikipedia
Jake Roberts,Jake Roberts,"Aurelian Smith Jr. better known by the ring name Jake ""the Snake"" Roberts, is an American actor, podcaster and retired professional wrestler. He is signed to All Elite Wrestling (AEW), where he serves as a special advisor for AEW's community outreach program, AEW Together. He is also signed to WWE under a legends contract. He is best known for his two stints in the World Wrestling Federation ; the first between 1986 and 1992, and the second between 1996 and 1997. He wrestled in the National Wrestling Alliance in 1983, World Championship Wrestling in 1992, and the Mexico-based Asistencia Asesoría y Administración between 1993 and 1994 and again in 1997. He appeared in Extreme Championship Wrestling during the summer of 1997 and made appearances for Total Nonstop Action Wrestling from 2006 through 2008.",https://en.wikipedia.org/wiki/Jake_Roberts,jake roberts,,1955-05-30,6 ft 6 in (198 cm),249 lb (113 kg),1975,,https://en.wikipedia.org/wiki/Jake_Roberts,wikipedia
Ivan Koloff,Ivan Koloff,"Oreal Donald Perras was a Canadian professional wrestler, better known by the ring name ""The Russian Bear"" Ivan Koloff, under which name he was billed as being from Russia and, following the dissolution of the Soviet Union, Ukraine. He was the third wrestler to hold the WWWF Championship. In April 2025, Koloff was inducted into the WWE Hall of Fame.",https://en.wikipedia.org/wiki/Ivan_Koloff,ivan koloff,,1942-08-25,5 ft 9 in (175 cm),298 lb (135 kg),"February 15, 1963",,https://en.wikipedia.org/wiki/Ivan_Koloff,wikipedia
Randy Orton,Randy Orton,"Randal Keith Orton is an American professional wrestler. He has been signed to WWE since 2000, where he performs on the SmackDown brand. Widely regarded as one of WWE's greatest professional wrestlers, Orton has the tied-third most world championship reigns in history, and a career spanning over 20 years.",https://en.wikipedia.org/wiki/Randy_Orton,randy orton,,1980-04-01,6 ft 5 in (196 cm),275 lb (125 kg),"March 18, 2000",,https://en.wikipedia.org/wiki/Randy_Orton,wikipedia
Becky Lynch,Becky Lynch,"Rebecca Quin, better known by the ring name Becky Lynch, is an Irish professional wrestler. She has been signed to WWE since April 2013, where she performs on the Raw brand. Lynch is often regarded as one of the greatest women's professional wrestlers of all time.",https://en.wikipedia.org/wiki/Becky_Lynch,becky lynch,,1987-01-30,5 ft 6 in (168 cm),135 lb (61 kg),11 November 2002,,https://en.wikipedia.org/wiki/Becky_Lynch,wikipedia
Seth Rollins,Seth Rollins,"Colby Daniel Lopez, better known by the ring name Seth Rollins, is an American professional wrestler. As of August 2010, he is signed to WWE, where he performs on the Raw brand. Rollins topped Pro Wrestling Illustrated's PWI 500 list of the top 500 wrestlers in the world in 2015, 2019, and 2023, was voted as the PWI Wrestler of the Year in 2015 and 2023, was named Wrestler of the Year by Sports Illustrated in 2022.",https://en.wikipedia.org/wiki/Seth_Rollins,seth rollins,,1986-05-28,6 ft 1 in (185 cm),225 lb (102 kg),"August 21, 2004",,https://en.wikipedia.org/wiki/Seth_Rollins,wikipedia
Charlotte Flair,Charlotte Flair,"Ashley Elizabeth Fliehr is an American professional wrestler. She is signed to WWE, where she performs on the SmackDown brand under the ring name Charlotte Flair, and is a record 14-time world champion.",https://en.wikipedia.org/wiki/Charlotte_Flair,charlotte flair,,1986-04-05,5 ft 10 in (178 cm),,"July 17, 2012",,https://en.wikipedia.org/wiki/Charlotte_Flair,wikipedia
Kevin Owens,Kevin Owens,"Kevin Yanick Steen is a Canadian professional wrestler. He is signed to WWE, where he performs on the SmackDown brand under the ring name Kevin Owens.",https://en.wikipedia.org/wiki/Kevin_Owens,kevin owens,,1984-05-07,6 ft 0 in (183 cm),242 lb (110 kg),"May 7, 2000",,https://en.wikipedia.org/wiki/Kevin_Owens,wikipedia
Roman Reigns,Roman Reigns,"Leati Joseph Anoaʻi, better known by his ring name Roman Reigns, is an American professional wrestler, actor, and former football player. As a wrestler, he has been signed to WWE since 2010, where he performs on the Raw brand and is the current World Heavyweight Champion in his first reign. Reigns' 1,316-day reign as WWE Universal Champion is the longest reign of the title's history, the fourth longest world title reign in WWE history, and the longest championship reign recognised by the company since 1988.",https://en.wikipedia.org/wiki/Roman_Reigns,roman reigns,,1985-05-25,6 ft 3 in (191 cm),265 lb (120 kg),"August 19, 2010",,https://en.wikipedia.org/wiki/Roman_Reigns,wikipedia
CM Punk,CM Punk,"Phillip Jack Brooks, better known by his ring name CM Punk, is an American professional wrestler and actor. As of November 2023, he is signed to WWE, where he performs on the Raw brand. Brooks is known for his outspoken and confrontational straight edge persona, which is based on his real-life experiences. His 434-day reign as WWE Champion is the 11th-longest world title reign in WWE history.",https://en.wikipedia.org/wiki/CM_Punk,cm punk,,1978-10-26,6 ft 2 in (188 cm),218 lb (99 kg),"October 25, 1997",,https://en.wikipedia.org/wiki/CM_Punk,wikipedia
Kane,Kane,Kane or KANE may refer to:,https://en.wikipedia.org/wiki/Kane,kane,,,,,,,https://en.wikipedia.org/wiki/Kane,wikipedia
Brock Lesnar,Brock Lesnar,"Brock Edward Lesnar is an American professional wrestler, former mixed martial artist, amateur wrestler and professional American football player. He is signed to WWE, where he performs on a part-time basis. Lesnar had two previous tenures with the company from 2000 to 2004 and 2012 to 2020. Lesnar is the only person to have won the primary heavyweight championships of World Wrestling Entertainment (WWE), Ultimate Fighting Championship (UFC), New Japan Pro-Wrestling (NJPW), the Inoki Genome Federation (IGF), and the National Collegiate Athletic Association (NCAA).",https://en.wikipedia.org/wiki/Brock_Lesnar,brock lesnar,,1977-07-12,6 ft 3 in (191 cm),265 lb (120 kg; 18 st 13 lb),"October 11, 2000",,https://en.wikipedia.org/wiki/Brock_Lesnar,wikipedia
The Undertaker,The Undertaker,"Mark William Calaway, better known by his ring name the Undertaker, is an American retired professional wrestler. He is signed to WWE, where he is a brand ambassador as well as a writer and executive producer for its sister promotion Lucha Libre AAA Worldwide (AAA). Calaway spent the vast majority of his in-ring career wrestling for WWE and was inducted into the WWE Hall of Fame in 2022.",https://en.wikipedia.org/wiki/The_Undertaker,the undertaker,,1965-03-24,6 ft 10 in (208 cm),309 lb (140 kg),"June 26, 1987",,https://en.wikipedia.org/wiki/The_Undertaker,wikipedia
The Rock,The Rock,"The Rock most often refers to:Dwayne Johnson, American actor, businessman, and professional wrestler known as The Rock
The Rock (film), 1996 film starring Sean Connery and Nicolas Cage, directed by Michael Bay",https://en.wikipedia.org/wiki/The_Rock,the rock,,,,,,,https://en.wikipedia.org/wiki/The_Rock,wikipedia
