id,name,real_name,birth_date,date_born,height,weight,height_cm,weight_kg,nationality,description,extract,debut,debut_year,retired,image_url,image_large,promotion,team,source,link,url,total_wins,total_losses,total_matches,win_rate,total_titles,es_campeon,championship_probability,edad,experiencia_anos,promedio_combates_por_año,ratio_victorias,total_titulos,total_reinados
1,Nova,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,38.0,18.0,56.0,0.6785714285714286,0.0,0,47.5,,,,0.6785714285714286,0.0,0
2,Tom Marquez,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,6.0,34.0,40.0,0.15,0.0,0,10.5,,,,0.15,0.0,0
3,Christian York & Joey Matthews,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,8.0,21.0,29.0,0.27586206896551724,0.0,0,19.310344827586206,,,,0.27586206896551724,0.0,0
4,E. Z. Money & Julio Dinero,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,5.0,7.0,12.0,0.4166666666666667,0.0,0,29.166666666666668,,,,0.4166666666666667,0.0,0
5,Super Crazy,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,125.0,68.0,193.0,0.6476683937823834,0.0,0,45.33678756476684,,,,0.6476683937823834,0.0,0
6,Yoshihiro Tajiri,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,85.0,64.0,149.0,0.5704697986577181,1.0,1,40.28172311534259,,,,0.5704697986577181,1.0,0
7,Danny Doring & Tommy Dreamer,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,1.0,0.0,1.0,1.0,0.0,0,70.0,,,,1.0,0.0,0
8,Little Guido & Tony Mamaluke,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,23.0,16.0,39.0,0.5897435897435898,1.0,1,42.53205128205128,,,,0.5897435897435898,1.0,0
9,Jack Victory,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,7.0,8.0,15.0,0.4666666666666667,0.0,0,32.666666666666664,,,,0.4666666666666667,0.0,0
10,C. W. Anderson,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,12.0,48.0,60.0,0.2,0.0,0,13.999999999999998,,,,0.2,0.0,0
11,Michael Shane,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,8.0,19.0,27.0,0.2962962962962963,0.0,0,20.740740740740737,,,,0.2962962962962963,0.0,0
12,Oz,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,3.0,8.0,11.0,0.2727272727272727,0.0,0,19.09090909090909,,,,0.2727272727272727,0.0,0
13,The Prodigy,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,2.0,7.0,9.0,0.2222222222222222,0.0,0,15.555555555555554,,,,0.2222222222222222,0.0,0
15,Rhino,<NA>,,<NA>,<NA>,<NA>,,,<NA>,<NA>,<NA>,,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,54.0,36.0,90.0,0.6,2.0,1,43.09090909090909,,,,0.6,2.0,0
