overall_reign,holder,won_date,event_name,location,champion_reign_number,reign_days,days_recognized,era,notes,title,start_date,champion_name,source_order,holder_slug,champion_name_slug
,Axl Rotten & Ian Rotten,,Card #664,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ASWA Tag Team Titles MEWF Tag Team Titles,,Axl Rotten & Ian Rotten,664.0,axl rotten ian rotten,axl rotten ian rotten
,T. J. Perkins,,Card #6886,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),Cruiserweight Classic Championship WWE Cruiserweight Title,,T. J. Perkins,6886.0,t j perkins,t j perkins
,Akam & Rezar,,Card #2086,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),Dusty Rhodes Tag Team Classic Cup,,Akam & Rezar,2086.0,akam rezar,akam rezar
,Finn Bálor & Samoa Joe,,Card #2331,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),Dusty Rhodes Tag Team Classic Cup,,Finn Bálor & Samoa Joe,2331.0,finn balor samoa joe,finn balor samoa joe
,Sabu,,Card #318,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW FTW Title,,Sabu,318.0,sabu,sabu
,J. T. Smith,,Card #668,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Maryland Title,,J. T. Smith,668.0,j t smith,j t smith
,Tony Stetson,,Card #671,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Pennsylvania Title,,Tony Stetson,671.0,tony stetson,tony stetson
,Little Guido & Tony Mamaluke,,Card #40,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Little Guido & Tony Mamaluke,40.0,little guido tony mamaluke,little guido tony mamaluke
,Justin Credible & Lance Storm,,Card #105,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Justin Credible & Lance Storm,105.0,justin credible lance storm,justin credible lance storm
,Mike Awesome & Raven,,Card #129,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Mike Awesome & Raven,129.0,mike awesome raven,mike awesome raven
,Masato Tanaka & Tommy Dreamer,,Card #138,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Masato Tanaka & Tommy Dreamer,138.0,masato tanaka tommy dreamer,masato tanaka tommy dreamer
,Justin Credible & Lance Storm,,Card #158,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Justin Credible & Lance Storm,158.0,justin credible lance storm,justin credible lance storm
,Buh Buh Ray Dudley & D-Von Dudley,,Card #227,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Buh Buh Ray Dudley & D-Von Dudley,227.0,buh buh ray dudley d von dudley,buh buh ray dudley d von dudley
,Raven & Tommy Dreamer,,Card #227,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Raven & Tommy Dreamer,227.0,raven tommy dreamer,raven tommy dreamer
,Balls Mahoney & Spike Dudley,,Card #232,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Balls Mahoney & Spike Dudley,232.0,balls mahoney spike dudley,balls mahoney spike dudley
,Buh Buh Ray Dudley & D-Von Dudley,,Card #233,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Buh Buh Ray Dudley & D-Von Dudley,233.0,buh buh ray dudley d von dudley,buh buh ray dudley d von dudley
,Balls Mahoney & Spike Dudley,,Card #243,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Balls Mahoney & Spike Dudley,243.0,balls mahoney spike dudley,balls mahoney spike dudley
,D-Von Dudley,,Card #281,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,D-Von Dudley,281.0,d von dudley,d von dudley
,Buh Buh Ray Dudley & D-Von Dudley,,Card #332,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Buh Buh Ray Dudley & D-Von Dudley,332.0,buh buh ray dudley d von dudley,buh buh ray dudley d von dudley
,Buh Buh Ray Dudley & D-Von Dudley,,Card #336,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Buh Buh Ray Dudley & D-Von Dudley,336.0,buh buh ray dudley d von dudley,buh buh ray dudley d von dudley
,Rob Van Dam & Sabu,,Card #364,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Rob Van Dam & Sabu,364.0,rob van dam sabu,rob van dam sabu
,Chris Candido & Lance Storm,,Card #416,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Chris Candido & Lance Storm,416.0,chris candido lance storm,chris candido lance storm
,Doug Furnas & Phil LaFon,,Card #417,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Doug Furnas & Phil LaFon,417.0,doug furnas phil lafon,doug furnas phil lafon
,Little Guido & Tracy Smothers,,Card #431,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Little Guido & Tracy Smothers,431.0,little guido tracy smothers,little guido tracy smothers
,John Kronus & New Jack,,Card #439,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,John Kronus & New Jack,439.0,john kronus new jack,john kronus new jack
,Mustafa Saed & New Jack,,Card #453,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Mustafa Saed & New Jack,453.0,mustafa saed new jack,mustafa saed new jack
,Buh Buh Ray Dudley & D-Von Dudley,,Card #461,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Buh Buh Ray Dudley & D-Von Dudley,461.0,buh buh ray dudley d von dudley,buh buh ray dudley d von dudley
,Buh Buh Ray Dudley & D-Von Dudley,,Card #489,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Buh Buh Ray Dudley & D-Von Dudley,489.0,buh buh ray dudley d von dudley,buh buh ray dudley d von dudley
,John Kronus & Perry Saturn,,Card #509,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,John Kronus & Perry Saturn,509.0,john kronus perry saturn,john kronus perry saturn
,John Kronus & Perry Saturn,,Card #567,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,John Kronus & Perry Saturn,567.0,john kronus perry saturn,john kronus perry saturn
,Raven & Stevie Richards,,Card #584,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Raven & Stevie Richards,584.0,raven stevie richards,raven stevie richards
,Johnny Grunge & Rocco Rock,,Card #584,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Johnny Grunge & Rocco Rock,584.0,johnny grunge rocco rock,johnny grunge rocco rock
,Pitbull #1 & Pitbull #2,,Card #587,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Pitbull #1 & Pitbull #2,587.0,pitbull 1 pitbull 2,pitbull 1 pitbull 2
,Raven & Stevie Richards,,Card #599,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Raven & Stevie Richards,599.0,raven stevie richards,raven stevie richards
,Johnny Grunge & Rocco Rock,,Card #613,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Johnny Grunge & Rocco Rock,613.0,johnny grunge rocco rock,johnny grunge rocco rock
,Johnny Grunge & Rocco Rock,,Card #629,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Johnny Grunge & Rocco Rock,629.0,johnny grunge rocco rock,johnny grunge rocco rock
,Cactus Jack & Mikey Whipwreck,,Card #640,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Cactus Jack & Mikey Whipwreck,640.0,cactus jack mikey whipwreck,cactus jack mikey whipwreck
,Johnny Grunge & Rocco Rock,,Card #658,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Johnny Grunge & Rocco Rock,658.0,johnny grunge rocco rock,johnny grunge rocco rock
,Kevin Sullivan & The Tazmaniac,,Card #659,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Kevin Sullivan & The Tazmaniac,659.0,kevin sullivan the tazmaniac,kevin sullivan the tazmaniac
,Kevin Sullivan & The Tazmaniac,,Card #663,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Kevin Sullivan & The Tazmaniac,663.0,kevin sullivan the tazmaniac,kevin sullivan the tazmaniac
,Johnny Gunn & Tommy Dreamer,,Card #665,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Johnny Gunn & Tommy Dreamer,665.0,johnny gunn tommy dreamer,johnny gunn tommy dreamer
,Super Destroyer #1 & Super Destroyer #2,,Card #685,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles,,Super Destroyer #1 & Super Destroyer #2,685.0,super destroyer 1 super destroyer 2,super destroyer 1 super destroyer 2
,Mikey Whipwreck,,Card #573,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW Tag Team Titles ECW World Television Title,,Mikey Whipwreck,573.0,mikey whipwreck,mikey whipwreck
,Jerry Lynn,,Card #26,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Jerry Lynn,26.0,jerry lynn,jerry lynn
,Tommy Dreamer,,Card #103,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Tommy Dreamer,103.0,tommy dreamer,tommy dreamer
,Justin Credible,,Card #103,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Justin Credible,103.0,justin credible,justin credible
,Taz,,Card #110,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Taz,110.0,taz,taz
,Taz,,Card #113,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Taz,113.0,taz,taz
,Mike Awesome,,Card #163,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Mike Awesome,163.0,mike awesome,mike awesome
,Masato Tanaka,,Card #166,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Masato Tanaka,166.0,masato tanaka,masato tanaka
,Bam Bam Bigelow,,Card #433,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Bam Bam Bigelow,433.0,bam bam bigelow,bam bam bigelow
,Sabu,,Card #447,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Sabu,447.0,sabu,sabu
,Raven,,Card #510,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Raven,510.0,raven,raven
,The Sandman & Tommy Dreamer,,Card #525,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,The Sandman & Tommy Dreamer,525.0,the sandman tommy dreamer,the sandman tommy dreamer
,Raven,,Card #569,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Raven,569.0,raven,raven
,The Sandman,,Card #575,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,The Sandman,575.0,the sandman,the sandman
,The Sandman,,Card #611,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,The Sandman,611.0,the sandman,the sandman
,Sabu & Tasmaniac,,Card #619,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Sabu & Tasmaniac,619.0,sabu tasmaniac,sabu tasmaniac
,Johnny Grunge & Mr. Hughes & Rocco Rock & Shane Douglas,,Card #657,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Johnny Grunge & Mr. Hughes & Rocco Rock & Shane Douglas,657.0,johnny grunge mr hughes rocco rock shane douglas,johnny grunge mr hughes rocco rock shane douglas
,Sabu,,Card #669,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Sabu,669.0,sabu,sabu
,Terry Funk,,Card #670,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Terry Funk,670.0,terry funk,terry funk
,Mr. Sandman,,Card #675,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Mr. Sandman,675.0,mr sandman,mr sandman
,Don Muraco,,Card #679,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Don Muraco,679.0,don muraco,don muraco
,Jimmy Snuka,,Card #684,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Jimmy Snuka,684.0,jimmy snuka,jimmy snuka
,Johnny Hot Body,,Card #688,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Johnny Hot Body,688.0,johnny hot body,johnny hot body
,Jimmy Snuka,,Card #689,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Jimmy Snuka,689.0,jimmy snuka,jimmy snuka
,Ezekiel Jackson,,Card #9556,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Ezekiel Jackson,9556.0,ezekiel jackson,ezekiel jackson
,Christian,,Card #9731,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Christian,9731.0,christian,christian
,Tommy Dreamer,,Card #9769,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Tommy Dreamer,9769.0,tommy dreamer,tommy dreamer
,Christian,,Card #9801,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Christian,9801.0,christian,christian
,Jack Swagger,,Card #9877,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Jack Swagger,9877.0,jack swagger,jack swagger
,Matt Hardy,,Card #9940,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Matt Hardy,9940.0,matt hardy,matt hardy
,Mark Henry,,Card #9980,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Mark Henry,9980.0,mark henry,mark henry
,Kane,,Card #10044,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Kane,10044.0,kane,kane
,Chavo Guerrero,,Card #10086,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Chavo Guerrero,10086.0,chavo guerrero,chavo guerrero
,CM Punk,,Card #10175,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,CM Punk,10175.0,cm punk,cm punk
,Johnny Nitro,,Card #10218,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Johnny Nitro,10218.0,johnny nitro,johnny nitro
,Bobby Lashley,,Card #10231,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Bobby Lashley,10231.0,bobby lashley,bobby lashley
,Mr. McMahon & Shane McMahon & Umaga,,Card #10254,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Mr. McMahon & Shane McMahon & Umaga,10254.0,mr mcmahon shane mcmahon umaga,mr mcmahon shane mcmahon umaga
,Bobby Lashley,,Card #10347,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,Bobby Lashley,10347.0,bobby lashley,bobby lashley
,The Big Show,,Card #10445,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Heavyweight Title,,The Big Show,10445.0,the big show,the big show
,Rhino,,Card #33,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,Rhino,33.0,rhino,rhino
,Kid Kash,,Card #40,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,Kid Kash,40.0,kid kash,kid kash
,Rhino,,Card #103,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,Rhino,103.0,rhino,rhino
,Yoshihiro Tajiri,,Card #113,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,Yoshihiro Tajiri,113.0,yoshihiro tajiri,yoshihiro tajiri
,Rob Van Dam,,Card #388,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,Rob Van Dam,388.0,rob van dam,rob van dam
,Taz,,Card #464,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,Taz,464.0,taz,taz
,Shane Douglas,,Card #538,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,Shane Douglas,538.0,shane douglas,shane douglas
,Chris Jericho,,Card #542,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,Chris Jericho,542.0,chris jericho,chris jericho
,Pitbull #2,,Card #546,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,Pitbull #2,546.0,pitbull 2,pitbull 2
,Shane Douglas,,Card #550,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,Shane Douglas,550.0,shane douglas,shane douglas
,2 Cold Scorpio,,Card #571,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,2 Cold Scorpio,571.0,2 cold scorpio,2 cold scorpio
,Mikey Whipwreck,,Card #582,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,Mikey Whipwreck,582.0,mikey whipwreck,mikey whipwreck
,Too Cold Scorpio,,Card #591,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,Too Cold Scorpio,591.0,too cold scorpio,too cold scorpio
,Eddie Guerrero,,Card #594,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,Eddie Guerrero,594.0,eddie guerrero,eddie guerrero
,Dean Malenko,,Card #596,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,Dean Malenko,596.0,dean malenko,dean malenko
,Eddy Guerrero,,Card #613,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,Eddy Guerrero,613.0,eddy guerrero,eddy guerrero
,Too Cold Scorpio,,Card #614,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,Too Cold Scorpio,614.0,too cold scorpio,too cold scorpio
,Too Cold Scorpio,,Card #630,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,Too Cold Scorpio,630.0,too cold scorpio,too cold scorpio
,Dean Malenko,,Card #630,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,Dean Malenko,630.0,dean malenko,dean malenko
,Jason Knight,,Card #641,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,Jason Knight,641.0,jason knight,jason knight
,Mikey Whipwreck,,Card #653,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,Mikey Whipwreck,653.0,mikey whipwreck,mikey whipwreck
,Pitbull #1,,Card #654,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,Pitbull #1,654.0,pitbull 1,pitbull 1
,The Tazmaniac,,Card #658,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,The Tazmaniac,658.0,the tazmaniac,the tazmaniac
,J. T. Smith,,Card #658,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,J. T. Smith,658.0,j t smith,j t smith
,Terry Funk,,Card #662,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,Terry Funk,662.0,terry funk,terry funk
,Glen Osbourne,,Card #679,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,Glen Osbourne,679.0,glen osbourne,glen osbourne
,Johnny Hot Body,,Card #682,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECW World Television Title,,Johnny Hot Body,682.0,johnny hot body,johnny hot body
,Super Destroyer #1 & Super Destroyer #2,,Card #673,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),ECWA Tag Team Titles WWA Tag Team Titles,,Super Destroyer #1 & Super Destroyer #2,673.0,super destroyer 1 super destroyer 2,super destroyer 1 super destroyer 2
,Jushin Liger,,Card #2943,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),IWGP Junior Heavyweight Title,,Jushin Liger,2943.0,jushin liger,jushin liger
,Juventud Guerrera,,Card #2950,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),IWGP Junior Heavyweight Title,,Juventud Guerrera,2950.0,juventud guerrera,juventud guerrera
,El Hijo del Fantasma,,Card #1367,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),Interim NXT Cruiserweight Championship,,El Hijo del Fantasma,1367.0,el hijo del fantasma,el hijo del fantasma
,Santos Escobar,,Card #1316,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),Interim NXT Cruiserweight Championship NXT Cruiserweight Championship,,Santos Escobar,1316.0,santos escobar,santos escobar
,Ultimate Dragon,,Card #3822,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),J-Crown Championship WCW Cruiserweight Championship,,Ultimate Dragon,3822.0,ultimate dragon,ultimate dragon
,Lucifer,,Card #664,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),MEWF Heavyweight Title,,Lucifer,664.0,lucifer,lucifer
,Joe Thunder & Max Moon & Mike Khoury & Tommy Dreamer,,Card #664,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),MEWF Mid-Atlantic Heavyweight Title,,Joe Thunder & Max Moon & Mike Khoury & Tommy Dreamer,664.0,joe thunder max moon mike khoury tommy dreamer,joe thunder max moon mike khoury tommy dreamer
,Cameron Grimes,,Card #1295,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),Million Dollar Title,,Cameron Grimes,1295.0,cameron grimes,cameron grimes
,L.A. Knight,,Card #1306,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),Million Dollar Title,,L.A. Knight,1306.0,l a knight,l a knight
,Ted DiBiase,,Card #14032,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),Million Dollar Title,,Ted DiBiase,14032.0,ted dibiase,ted dibiase
,Virgil,,Card #14061,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),Million Dollar Title,,Virgil,14061.0,virgil,virgil
,The Miz,,Card #5650,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),Money In the Bank Briefcase,,The Miz,5650.0,the miz,the miz
,Dean Ambrose,,Card #6984,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),Money In the Bank Briefcase,,Dean Ambrose,6984.0,dean ambrose,dean ambrose
,Sheamus,,Card #7398,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),Money In the Bank Briefcase,,Sheamus,7398.0,sheamus,sheamus
,Rob Van Dam,,Card #10495,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),Money In the Bank Briefcase WWE Intercontinental Championship,,Rob Van Dam,10495.0,rob van dam,rob van dam
,Bodacious Bart & Bombastic Bob,,Card #12890,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),NWA Tag Team Titles,,Bodacious Bart & Bombastic Bob,12890.0,bodacious bart bombastic bob,bodacious bart bombastic bob
,Mosh & Thrasher,,Card #12903,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),NWA Tag Team Titles,,Mosh & Thrasher,12903.0,mosh thrasher,mosh thrasher
,Ricky Steamboat & Shane Douglas,,Card #4045,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),NWA Tag Team Titles WCW World Tag Team Titles,,Ricky Steamboat & Shane Douglas,4045.0,ricky steamboat shane douglas,ricky steamboat shane douglas
,Shane Douglas,,Card #640,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),NWA World Heavyweight Title,,Shane Douglas,640.0,shane douglas,shane douglas
,Ric Flair,,Card #4138,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),NWA World Heavyweight Title,,Ric Flair,4138.0,ric flair,ric flair
,Ric Flair,,Card #4128,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),NWA World Heavyweight Title WCW World Heavyweight Title,,Ric Flair,4128.0,ric flair,ric flair
,Oba Femi,,Card #705,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),NXT Championship,,Oba Femi,705.0,oba femi,oba femi
,Ricky Saints,,Card #730,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),NXT Championship,,Ricky Saints,730.0,ricky saints,ricky saints
,Oba Femi,,Card #810,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),NXT Championship,,Oba Femi,810.0,oba femi,oba femi
,Trick Williams,,Card #844,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),NXT Championship,,Trick Williams,844.0,trick williams,trick williams
,Ethan Page,,Card #882,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),NXT Championship,,Ethan Page,882.0,ethan page,ethan page
,Trick Williams,,Card #915,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),NXT Championship,,Trick Williams,915.0,trick williams,trick williams
,Ilja Dragunov,,Card #1010,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),NXT Championship,,Ilja Dragunov,1010.0,ilja dragunov,ilja dragunov
,Carmelo Hayes,,Card #1097,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),NXT Championship,,Carmelo Hayes,1097.0,carmelo hayes,carmelo hayes
,Dolph Ziggler,,Card #1261,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),NXT Championship,,Dolph Ziggler,1261.0,dolph ziggler,dolph ziggler
,Bron Breakker,,Card #1273,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),NXT Championship,,Bron Breakker,1273.0,bron breakker,bron breakker
,Tommaso Ciampa,,Card #1291,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),NXT Championship,,Tommaso Ciampa,1291.0,tommaso ciampa,tommaso ciampa
,Samoa Joe,,Card #1295,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),NXT Championship,,Samoa Joe,1295.0,samoa joe,samoa joe
,Karrion Kross,,Card #1316,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),NXT Championship,,Karrion Kross,1316.0,karrion kross,karrion kross
,Finn Bálor,,Card #1350,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),NXT Championship,,Finn Bálor,1350.0,finn balor,finn balor
,Karrion Kross,,Card #1353,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),NXT Championship,,Karrion Kross,1353.0,karrion kross,karrion kross
,Adam Cole,,Card #1536,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),NXT Championship,,Adam Cole,1536.0,adam cole,adam cole
,Johnny Gargano,,Card #1567,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),NXT Championship,,Johnny Gargano,1567.0,johnny gargano,johnny gargano
,Tommaso Ciampa,,Card #1719,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),NXT Championship,,Tommaso Ciampa,1719.0,tommaso ciampa,tommaso ciampa
,Aleister Black,,Card #1785,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),NXT Championship,,Aleister Black,1785.0,aleister black,aleister black
,"Andrade ""Cien"" Almas",,Card #1865,,,,,,Reconstruido desde Kaggle matches.csv (title_change=1),NXT Championship,,"Andrade ""Cien"" Almas",1865.0,andrade cien almas,andrade cien almas
