canonical_name,name_slug,id,name,real_name,promotion,height,weight,date_born,nationality,debut,retired,image_url,image_large,team,description,source,title,extract,url,birth_date,real_name_slug,link,height_cm,weight_kg,debut_year,biography
Pedro Morales,pedro morales,34168571.0,Pedro Morales,,_Deceased Figthing,5 ft 10 in (178 cm),235 lb (107 kg),1942-10-22,Puerto Rico,1959,,https://r2.thesportsdb.com/images/media/player/thumb/2pqew21575313855.jpg,,_Deceased Figthing,,thesportsdb,Pedro Morales,Pedro Antonio Morales was a Puerto Rican professional wrestler. He is best known for his appearances in the United States with Worldwide Wrestling Associates (WWA) and the World Wide Wrestling Federation (WWWF).,https://en.wikipedia.org/wiki/Pedro_Morales,1942-10-22,,https://en.wikipedia.org/wiki/Pedro_Morales,,,,Pedro Antonio Morales was a Puerto Rican professional wrestler. He is best known for his appearances in the United States with Worldwide Wrestling Associates (WWA) and the World Wide Wrestling Federation (WWWF).
Randy Orton,randy orton,34160751.0,Randy Orton,,Smackdown Mens,6 ft 5 in (196 cm),275 lb (125 kg),1980-04-01,United States,"March 18, 2000",,https://r2.thesportsdb.com/images/media/player/thumb/qdrwx21574963756.jpg,,Smackdown Mens,,thesportsdb,Randy Orton,"Randal Keith Orton is an American professional wrestler. He has been signed to WWE since 2000, where he performs on the SmackDown brand. Widely regarded as one of WWE's greatest professional wrestlers, Orton has the tied-third most world championship reigns in history, and a career spanning over 20 years.",https://en.wikipedia.org/wiki/Randy_Orton,1980-04-01,,https://en.wikipedia.org/wiki/Shawn_Michaels,,,,"Randal Keith Orton is an American professional wrestler. He has been signed to WWE since 2000, where he performs on the SmackDown brand. Widely regarded as one of WWE's greatest professional wrestlers, Orton has the tied-third most world championship reigns in history, and a career spanning over 20 years."
Randy Savage,randy savage,34168495.0,Randy Savage,,_Deceased Figthing,6 ft 2 in (188 cm),237 lb (108 kg),1952-11-15,United States,1973,,https://r2.thesportsdb.com/images/media/player/thumb/s5moiv1575122686.jpg,,_Deceased Figthing,,thesportsdb,Randy Savage,"Randy Mario Poffo, better known by his ring name ""Macho Man"" Randy Savage, was an American professional wrestler, rapper, and professional baseball player. Widely regarded as one of the greatest professional wrestlers of all time, he is best known for his time in the World Wrestling Federation and World Championship Wrestling (WCW).",https://en.wikipedia.org/wiki/Randy_Savage,1952-11-15,,https://en.wikipedia.org/wiki/The_Undertaker,,,,"Randy Mario Poffo, better known by his ring name ""Macho Man"" Randy Savage, was an American professional wrestler, rapper, and professional baseball player. Widely regarded as one of the greatest professional wrestlers of all time, he is best known for his time in the World Wrestling Federation and World Championship Wrestling (WCW)."
Roman Reigns,roman reigns,34160752.0,Roman Reigns,,Smackdown Mens,6 ft 3 in (191 cm),265 lb (120 kg),1985-05-25,United States,"August 19, 2010",,https://r2.thesportsdb.com/images/media/player/thumb/28le291574973222.jpg,,Smackdown Mens,,thesportsdb,Roman Reigns,"Leati Joseph Anoaʻi, better known by his ring name Roman Reigns, is an American professional wrestler, actor, and former football player. As a wrestler, he has been signed to WWE since 2010, where he performs on the Raw brand and is the current World Heavyweight Champion in his first reign. Reigns' 1,316-day reign as WWE Universal Champion is the longest reign of the title's history, the fourth longest world title reign in WWE history, and the longest championship reign recognised by the company since 1988.",https://en.wikipedia.org/wiki/Roman_Reigns,1985-05-25,,https://en.wikipedia.org/wiki/Seth_Rollins,,,,"Leati Joseph Anoaʻi, better known by his ring name Roman Reigns, is an American professional wrestler, actor, and former football player. As a wrestler, he has been signed to WWE since 2010, where he performs on the Raw brand and is the current World Heavyweight Champion in his first reign. Reigns' 1,316-day reign as WWE Universal Champion is the longest reign of the title's history, the fourth longest world title reign in WWE history, and the longest championship reign recognised by the company since 1988."
Seth Rollins,seth rollins,34160755.0,Seth Rollins,,Raw Mens,6 ft 1 in (185 cm),225 lb (102 kg),1986-05-28,United States,"August 21, 2004",,https://r2.thesportsdb.com/images/media/player/thumb/7i7wbo1576234893.jpg,,Raw Mens,,thesportsdb,Seth Rollins,"Colby Daniel Lopez, better known by the ring name Seth Rollins, is an American professional wrestler. As of August 2010, he is signed to WWE, where he performs on the Raw brand. Rollins topped Pro Wrestling Illustrated's PWI 500 list of the top 500 wrestlers in the world in 2015, 2019, and 2023, was voted as the PWI Wrestler of the Year in 2015 and 2023, was named Wrestler of the Year by Sports Illustrated in 2022.",https://en.wikipedia.org/wiki/Seth_Rollins,1986-05-28,,https://en.wikipedia.org/wiki/Cody_Rhodes,,,,"Colby Daniel Lopez, better known by the ring name Seth Rollins, is an American professional wrestler. As of August 2010, he is signed to WWE, where he performs on the Raw brand. Rollins topped Pro Wrestling Illustrated's PWI 500 list of the top 500 wrestlers in the world in 2015, 2019, and 2023, was voted as the PWI Wrestler of the Year in 2015 and 2023, was named Wrestler of the Year by Sports Illustrated in 2022."
Shawn Michaels,shawn michaels,34168489.0,Shawn Michaels,,_Retired WWE,6 ft 1 in (185 cm),225 lb (102 kg),1965-07-22,United States,"October 8, 1984",,https://r2.thesportsdb.com/images/media/player/thumb/2469zw1575122607.jpg,,_Retired WWE,,thesportsdb,Shawn Michaels,"Shawn Michaels is an American retired professional wrestler. He is signed to WWE, where he is the Senior Vice President of Talent Development, Creative, and oversees the creative aspects of the NXT brand, the promotion's developmental territory. Regarded as one of the greatest professional wrestlers of all time, he is known by the nicknames ""the Heartbreak Kid"", ""the Showstopper"", and ""Mr. WrestleMania"".",https://en.wikipedia.org/wiki/Shawn_Michaels,1965-07-22,,https://en.wikipedia.org/wiki/Roman_Reigns,,,,"Shawn Michaels is an American retired professional wrestler. He is signed to WWE, where he is the Senior Vice President of Talent Development, Creative, and oversees the creative aspects of the NXT brand, the promotion's developmental territory. Regarded as one of the greatest professional wrestlers of all time, he is known by the nicknames ""the Heartbreak Kid"", ""the Showstopper"", and ""Mr. WrestleMania""."
Stan Stasiak,stan stasiak,34168627.0,Stan Stasiak,,_Deceased Figthing,6 ft 4 in (193 cm),270 lb (122 kg),1937-04-13,Canada,1958,,https://r2.thesportsdb.com/images/media/player/thumb/hqiktx1575320310.jpg,,_Deceased Figthing,,thesportsdb,Stan Stasiak,"George Emile Stipich was a Canadian professional wrestler, better known by his ring name, Stan ""the Man"" Stasiak. He is best known for his appearances with the World Wide Wrestling Federation (WWWF) in the 1970s, where he won the WWWF Heavyweight Championship in 1973. He was inducted into the Legacy wing of the WWE Hall of Fame Class of 2018.",https://en.wikipedia.org/wiki/Stan_Stasiak,1937-04-13,,https://en.wikipedia.org/wiki/Stan_Stasiak,,,,"George Emile Stipich was a Canadian professional wrestler, better known by his ring name, Stan ""the Man"" Stasiak. He is best known for his appearances with the World Wide Wrestling Federation (WWWF) in the 1970s, where he won the WWWF Heavyweight Championship in 1973. He was inducted into the Legacy wing of the WWE Hall of Fame Class of 2018."
Superstar Billy Graham,superstar billy graham,34310515.0,Superstar Billy Graham,,_Retired Boxing,6 ft 4 in (193 cm),275 lb (125 kg),1943-06-07,United States,1970,,https://r2.thesportsdb.com/images/media/player/thumb/eqyssg1740005884.jpg,,_Retired Boxing,,thesportsdb,"""Superstar"" Billy Graham","Eldridge Wayne Coleman Jr., better known by his ring name ""Superstar"" Billy Graham, was an American professional wrestler. He gained recognition for his tenure as the WWWF Heavyweight Champion from 1977 to 1978. He was a three-time world champion in major professional wrestling promotions. As an award-winning bodybuilder, he was a training partner and close friend of Arnold Schwarzenegger. He was most remembered for revolutionizing the interview and physique aspects of the professional wrestling industry, and for his charismatic performance style.",https://en.wikipedia.org/wiki/%22Superstar%22_Billy_Graham,1943-06-07,,https://en.wikipedia.org/wiki/%22Superstar%22_Billy_Graham,,,,"Eldridge Wayne Coleman Jr., better known by his ring name ""Superstar"" Billy Graham, was an American professional wrestler. He gained recognition for his tenure as the WWWF Heavyweight Champion from 1977 to 1978. He was a three-time world champion in major professional wrestling promotions. As an award-winning bodybuilder, he was a training partner and close friend of Arnold Schwarzenegger. He was most remembered for revolutionizing the interview and physique aspects of the professional wrestling industry, and for his charismatic performance style."
The Iron Sheik,the iron sheik,,The Iron Sheik,,,6 ft 0 in (183 cm),258 lb (117 kg),,,1972,,,,,,wikipedia,The Iron Sheik,"Hossein Khosrow Ali Vaziri, better known by his ring name the Iron Sheik, was an Iranian-American professional wrestler, amateur wrestler and actor. To date he is the only Iranian champion in WWE history, having won the WWF World Heavyweight Championship in 1983.",https://en.wikipedia.org/wiki/The_Iron_Sheik,1942-03-15,,,,,,"Hossein Khosrow Ali Vaziri, better known by his ring name the Iron Sheik, was an Iranian-American professional wrestler, amateur wrestler and actor. To date he is the only Iranian champion in WWE history, having won the WWF World Heavyweight Championship in 1983."
The Undertaker,the undertaker,34160763.0,The Undertaker,,_Retired WWE,6 ft 10 in (208 cm),309 lb (140 kg),1965-03-24,United States,"June 26, 1987",,https://r2.thesportsdb.com/images/media/player/thumb/0cb4l91575122490.jpg,,_Retired WWE,,thesportsdb,The Undertaker,"Mark William Calaway, better known by his ring name the Undertaker, is an American retired professional wrestler. He is signed to WWE, where he is a brand ambassador as well as a writer and executive producer for its sister promotion Lucha Libre AAA Worldwide (AAA). Calaway spent the vast majority of his in-ring career wrestling for WWE and was inducted into the WWE Hall of Fame in 2022.",https://en.wikipedia.org/wiki/The_Undertaker,1965-03-24,,https://en.wikipedia.org/wiki/John_Cena,,,,"Mark William Calaway, better known by his ring name the Undertaker, is an American retired professional wrestler. He is signed to WWE, where he is a brand ambassador as well as a writer and executive producer for its sister promotion Lucha Libre AAA Worldwide (AAA). Calaway spent the vast majority of his in-ring career wrestling for WWE and was inducted into the WWE Hall of Fame in 2022."
Triple H,triple h,34160760.0,Triple H,,WWE Mens,6 ft 4 in (193 cm),255 lb (116 kg),1969-07-27,United States,"March 24, 1992",,https://r2.thesportsdb.com/images/media/player/thumb/4pfiey1575122188.jpg,,WWE Mens,,thesportsdb,Triple H,"Paul Michael Levesque, also known by the ring name Triple H, is an American business executive, professional wrestling promoter, and retired wrestler. He is signed to WWE, where he serves as its chief content officer, its head of creative, and an executive producer.",https://en.wikipedia.org/wiki/Triple_H,1969-07-27,,https://en.wikipedia.org/wiki/Brock_Lesnar,,,,"Paul Michael Levesque, also known by the ring name Triple H, is an American business executive, professional wrestling promoter, and retired wrestler. He is signed to WWE, where he serves as its chief content officer, its head of creative, and an executive producer."
